NAME,name_simp,state_abbrev,state,region,latitude,longitude,pct_pop_change,pop_change,population,median_age_male,median_age_female,median_income,median_value,pct_white,pct_black,pct_foreign_born,pct_married_hh,per_capita_for_sale,pct_only_english,vehicles_per_hh,pct_poverty,pct_bachelors
"Phoenix-Mesa-Scottsdale, AZ Metro Area",Phoenix,AZ,Arizona,West,33.44838,-112.07404,0.0949666247997734,405345,4455761.833333333,34.76666666666666,36.96666666666667,29195.666666666668,194550,0.7912323710000808,0.05170167121813925,0.14375068894877724,0.9168400605473914,0.006224113339989634,0.6895524151107568,1.00876428840924,0.159526591992069,0.1240087974480683
"San Francisco-Oakland-Hayward, CA Metro Area",San Francisco,CA,California,West,37.77493,-122.41942,0.061437349425776604,270492,4548407.5,37.71666666666667,39.65,38529,657883.3333333334,0.5238935458912451,0.07737066947790701,0.30176620425207434,0.9133199492022929,0.0018984666611335946,0.5582290798116337,0.8520835416671259,0.10511869630561173,0.19684721154235482
"Riverside-San Bernardino-Ontario, CA Metro Area",Riverside,CA,California,West,33.9806,-117.3755,0.0544298454092144,233256,4408216,32.56666666666666,34.65,25104,264450,0.6290715639463523,0.0734975705969641,0.21520599262831042,0.9241195575169984,0.004430023392683117,0.5510468029092344,1.103172433259421,0.16957082714035188,0.08103036088370746
"Detroit-Warren-Dearborn, MI Metro Area",Detroit,MI,Michigan,Midwest,42.33143,-83.04575,0.005000116395465232,21479,4300547.666666667,38.28333333333333,41.06666666666667,28049.666666666668,137066.66666666666,0.6994218875843952,0.2243476276626163,0.09267649089344666,0.9111060657245323,0.005452367578299911,0.8207424434236786,0.9904362756863543,0.160531104449255,0.12028285854755086
"Seattle-Tacoma-Bellevue, WA Metro Area",Seattle,WA,Washington,West,47.60621,-122.33207,0.0870531765425603,305089,3648675.6666666665,36.166666666666664,37.9,36352.666666666664,343266.6666666667,0.7127227531962054,0.05553695418438124,0.17476162812315374,0.9168008127438537,0.0034736804504501956,0.7269296430567913,0.9509490569966542,0.10688969614271918,0.1738649557506116
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",Minneapolis,MN,Minnesota,Midwest,44.97997,-93.26384,0.049049729136459726,166337,3474480,35.75,37.550000000000004,35177.666666666664,222866.66666666666,0.804153523213066,0.07682243098247796,0.10028709332043932,0.9192137513273032,0.0031140391271979304,0.8051741555570906,1.11487431753135,0.09769716139777271,0.17579537081807925
"San Diego-Carlsbad, CA Metro Area",San Diego,CA,California,West,32.71533,-117.15726,0.05243916622719879,164568,3230726.3333333335,33.81666666666666,36.61666666666667,30639,451716.6666666667,0.70959708853912,0.05032433883030843,0.2347172911272068,0.9172950282455347,0.002608856068382559,0.5842550472912231,1.11073982992269,0.13550224361312352,0.14852996421135017
"Tampa-St. Petersburg-Clearwater, FL Metro Area",Tampa,FL,Florida,South,27.94752,-82.45843,0.07477402605878675,210806,2915817.3333333335,40.533333333333324,43.133333333333326,26406.666666666668,153966.66666666666,0.7887551712201449,0.11949148163373745,0.12966587298792837,0.9106451507017815,0.0072297052901805,0.7570392498295503,0.9365543167354732,0.14851393297156704,0.12907318611179575
"Denver-Aurora-Lakewood, CO Metro Area",Denver,CO,Colorado,West,39.73915,-104.9847,0.09562150557474346,248756,2726298.3333333335,35.400000000000006,36.949999999999996,34629.166666666664,287150,0.8160614606251823,0.055670723245621806,0.12201550453942739,0.9164009798899327,0.00275660709667993,0.7475577691118421,1.0693236771271868,0.10909212063487794,0.17780268605966942
"St. Louis, MO-IL Metro Area",St. Louis,MO,Missouri,Midwest,38.62727,-90.19789,0.004807804229535404,13424,2800962.6666666665,37.18333333333334,40.2,29840.666666666668,160316.66666666666,0.7632882289993632,0.18304075931989097,0.04525973689045957,0.9131188655013784,0.005913264582367395,0.8799092050257008,1.041510480032339,0.12457187338448401,0.13392223007137546
"Baltimore-Columbia-Towson, MD Metro Area",Baltimore,MD,Maryland,South,39.29038,-76.61219,0.021655101380958025,59206,2770571.8333333335,36.68333333333334,39.68333333333333,35908.5,282533.3333333333,0.6137052573563183,0.28937943075650263,0.09791300002989756,0.9108953828390405,0.004976469659001201,0.8270941179351,1.061692990618241,0.10503746188136491,0.1445944582679713
